,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,tiene_cochera,tiene_parrilla,tiene_pileta,tiene_terraza,expensas
0,2.0,1.0,65.0,53.0,-0.8453675480832353,1,1,1,1,
1,1.0,1.0,29.0,29.0,-2.353354071870227,0,1,1,0,
2,2.0,1.0,41.0,35.0,-1.6737341414810665,0,0,0,1,Con expensas
3,1.0,1.0,49.0,44.0,-1.6354382987890708,0,1,1,1,
4,1.0,2.0,115.1,78.0,0.3547163482856976,0,0,0,0,
5,1.0,1.0,36.0,31.0,-2.1823988886192605,1,1,1,0,
6,3.0,2.0,60.0,50.0,-0.4098542891127387,0,0,0,1,Con expensas
7,1.0,1.0,33.0,31.0,-2.3606377139855077,0,0,0,0,Con expensas
8,4.0,4.0,257.0,178.0,4.89691829376435,0,1,0,1,
9,6.0,4.0,199.0,157.0,4.525243032937389,0,1,0,0,Con expensas
10,3.0,2.0,120.0,120.0,2.022213978586909,0,0,0,0,
11,3.0,2.0,65.0,65.0,0.1560375217373021,1,0,0,1,Con expensas
12,2.0,1.0,29.0,29.0,-2.01115216655218,0,0,0,0,Con expensas
13,3.0,2.0,87.0,87.0,1.4450158568461438,0,0,0,0,
14,2.0,1.0,70.0,66.0,-0.625106679372181,1,0,0,1,
15,3.0,2.0,53.0,50.0,-0.3360767745445501,0,0,0,0,
16,1.0,1.0,37.0,34.0,-2.1473635362754564,0,0,0,1,Con expensas
17,5.0,4.0,174.0,174.0,5.068672229694065,1,0,0,0,
18,2.0,1.0,69.0,41.0,-1.388600719487182,0,0,0,1,
19,3.0,2.0,110.0,100.0,2.2551443168709557,1,0,1,0,
20,1.0,1.0,47.0,32.0,-2.125763071922709,0,0,0,0,Bajas expensas
21,1.0,1.0,41.0,30.0,-2.095333012932356,0,0,0,1,
22,3.0,2.0,41.0,41.0,-0.7940803851500847,0,0,0,1,Con expensas
23,4.0,3.0,128.0,123.0,2.755802195157214,0,0,0,0,
24,3.0,2.0,72.0,65.0,0.2287561977096323,1,1,1,1,Con expensas
25,5.0,5.0,192.0,182.0,6.399049110125009,1,0,0,0,
26,3.0,2.0,65.0,54.0,-0.4689161875591376,0,0,0,0,Sin expensas
27,3.0,2.0,63.0,60.0,-0.1610181445360112,0,0,0,0,
