,tipo_precio
0,alto
1,alto
2,medio
3,bajo
4,bajo
5,medio
6,bajo
7,bajo
8,bajo
9,alto
10,alto
11,bajo
12,bajo
13,alto
14,medio
15,bajo
16,alto
17,alto
18,medio
19,alto
20,alto
21,alto
22,medio
23,alto
24,alto
25,alto
26,alto
27,alto
28,alto
29,bajo
30,bajo
31,bajo
32,medio
33,medio
34,alto
35,medio
36,alto
37,medio
38,alto
39,alto
40,alto
41,bajo
42,alto
43,bajo
44,alto
45,medio
46,medio
47,medio
48,medio
49,alto
50,medio
51,bajo
52,bajo
53,bajo
54,bajo
55,alto
56,bajo
57,bajo
58,alto
59,alto
60,medio
61,medio
62,alto
63,bajo
64,medio
65,alto
66,medio
67,alto
68,medio
69,alto
70,alto
71,medio
72,bajo
73,medio
74,medio
75,alto
76,medio
77,bajo
78,alto
79,alto
80,alto
81,bajo
82,medio
83,medio
84,medio
85,alto
86,alto
87,alto
88,medio
89,bajo
90,bajo
91,bajo
92,medio
93,medio
94,bajo
95,bajo
96,bajo
97,alto
98,medio
99,alto
100,medio
101,medio
102,medio
103,medio
104,alto
105,alto
106,medio
107,bajo
108,bajo
109,alto
110,alto
111,alto
112,bajo
113,medio
114,medio
115,medio
116,medio
117,bajo
118,bajo
119,medio
120,alto
121,alto
122,alto
123,alto
124,bajo
125,alto
126,alto
127,medio
128,alto
129,alto
130,bajo
131,medio
132,bajo
133,medio
134,bajo
135,bajo
136,medio
137,medio
138,alto
139,medio
140,alto
141,medio
142,alto
143,medio
144,medio
145,bajo
146,bajo
147,alto
148,medio
149,alto
150,medio
151,alto
152,bajo
153,alto
154,medio
155,medio
156,medio
157,bajo
158,bajo
159,medio
160,medio
161,medio
162,alto
163,alto
164,bajo
165,bajo
166,bajo
167,alto
168,bajo
169,alto
170,medio
171,bajo
172,medio
173,medio
174,medio
175,bajo
176,alto
177,bajo
178,bajo
179,medio
180,bajo
181,alto
182,medio
183,medio
184,bajo
185,bajo
186,medio
187,alto
188,medio
189,bajo
190,alto
191,medio
192,bajo
193,bajo
194,medio
195,medio
196,alto
197,medio
198,bajo
199,medio
200,alto
201,alto
202,medio
203,bajo
204,medio
205,bajo
206,medio
207,alto
208,bajo
209,bajo
210,bajo
211,alto
212,medio
213,bajo
214,medio
215,medio
216,bajo
217,medio
218,alto
219,alto
220,alto
221,bajo
222,bajo
223,bajo
224,bajo
225,bajo
226,alto
227,alto
228,alto
229,alto
230,medio
231,medio
232,bajo
233,alto
234,bajo
235,medio
236,alto
237,alto
238,bajo
239,alto
240,bajo
241,medio
242,medio
243,bajo
244,bajo
245,medio
246,medio
247,bajo
248,bajo
249,bajo
250,medio
251,alto
252,medio
253,medio
254,alto
255,bajo
256,medio
257,bajo
258,bajo
259,medio
260,alto
261,alto
262,medio
263,medio
264,medio
265,bajo
266,bajo
267,medio
268,bajo
269,alto
270,bajo
271,medio
272,alto
273,bajo
274,bajo
275,alto
276,medio
277,bajo
278,bajo
279,medio
280,medio
281,medio
282,medio
283,alto
284,alto
285,bajo
286,bajo
287,bajo
288,medio
289,medio
290,alto
291,alto
292,bajo
293,medio
294,bajo
295,alto
296,alto
297,medio
298,bajo
299,bajo
300,bajo
301,alto
302,bajo
303,bajo
304,medio
305,bajo
306,bajo
307,medio
308,alto
309,alto
310,bajo
311,medio
312,alto
313,alto
314,alto
315,medio
316,bajo
317,medio
318,alto
319,medio
320,alto
321,alto
322,bajo
323,medio
324,bajo
325,bajo
326,bajo
327,bajo
328,alto
329,alto
330,bajo
331,bajo
332,alto
333,alto
334,bajo
335,bajo
336,bajo
337,alto
338,alto
339,medio
340,bajo
341,bajo
342,bajo
343,bajo
344,bajo
345,alto
346,medio
347,bajo
348,bajo
349,alto
350,alto
351,medio
352,medio
353,medio
354,alto
355,alto
356,bajo
357,bajo
358,bajo
359,medio
360,alto
361,medio
362,bajo
363,bajo
364,bajo
365,medio
366,medio
367,alto
368,bajo
369,bajo
370,alto
371,medio
372,medio
373,medio
374,medio
375,alto
376,medio
377,medio
378,alto
379,bajo
380,bajo
381,medio
382,alto
383,bajo
384,bajo
385,medio
386,bajo
387,alto
388,alto
389,alto
390,medio
391,medio
392,alto
393,bajo
394,alto
395,alto
396,medio
397,medio
398,medio
399,alto
400,bajo
401,bajo
402,bajo
403,medio
404,bajo
405,bajo
406,medio
407,bajo
408,medio
409,bajo
410,bajo
411,alto
412,alto
413,alto
414,bajo
415,bajo
416,medio
417,medio
418,alto
419,medio
420,alto
421,medio
422,alto
423,bajo
424,medio
425,bajo
426,alto
427,alto
428,alto
429,alto
430,medio
431,medio
432,medio
433,bajo
434,medio
435,alto
436,medio
437,alto
438,bajo
439,alto
440,alto
441,alto
442,medio
443,alto
444,medio
445,medio
446,alto
447,bajo
448,bajo
449,medio
450,medio
451,medio
452,bajo
453,medio
454,bajo
455,medio
456,bajo
457,alto
458,medio
459,alto
460,medio
461,bajo
462,medio
463,medio
464,medio
465,bajo
466,bajo
467,medio
468,medio
469,bajo
470,medio
471,bajo
472,alto
473,medio
474,medio
475,medio
476,bajo
477,bajo
478,bajo
479,alto
480,medio
481,medio
482,alto
483,medio
484,alto
485,medio
486,alto
487,medio
488,medio
489,alto
490,bajo
491,medio
492,alto
493,alto
494,alto
495,medio
496,medio
497,alto
498,medio
499,medio
500,alto
501,medio
502,bajo
503,bajo
504,medio
505,medio
506,medio
507,medio
508,bajo
509,bajo
510,bajo
511,alto
512,bajo
513,alto
514,medio
515,alto
516,bajo
517,medio
518,alto
519,bajo
520,alto
521,medio
522,alto
523,medio
524,medio
525,alto
526,alto
527,alto
528,alto
529,alto
530,alto
531,alto
532,bajo
533,bajo
534,bajo
535,bajo
536,medio
537,bajo
538,bajo
539,medio
540,medio
541,medio
542,bajo
543,bajo
544,alto
545,alto
546,alto
547,medio
548,alto
549,alto
550,bajo
551,medio
552,bajo
553,medio
554,bajo
555,bajo
556,bajo
557,bajo
558,alto
559,bajo
560,alto
561,bajo
562,bajo
563,alto
564,bajo
565,alto
566,medio
567,medio
568,medio
569,bajo
570,medio
571,bajo
572,bajo
573,medio
574,bajo
575,medio
576,bajo
577,alto
578,bajo
579,medio
580,medio
581,medio
582,medio
583,medio
584,bajo
585,alto
586,alto
587,bajo
588,alto
589,bajo
590,medio
591,bajo
592,alto
593,bajo
594,medio
595,medio
596,bajo
597,medio
598,medio
599,alto
600,bajo
601,medio
602,bajo
603,bajo
604,bajo
605,medio
606,alto
607,alto
608,bajo
609,alto
610,alto
611,bajo
612,medio
613,alto
614,alto
615,alto
616,bajo
617,alto
618,alto
619,medio
620,alto
621,bajo
622,alto
623,bajo
624,medio
625,medio
626,alto
627,medio
628,bajo
629,alto
630,medio
631,alto
632,bajo
633,medio
634,bajo
635,alto
636,medio
637,alto
638,medio
639,bajo
640,alto
641,medio
642,alto
643,alto
644,alto
645,bajo
646,medio
647,bajo
648,bajo
649,medio
650,bajo
651,bajo
652,bajo
653,alto
654,alto
655,medio
656,bajo
657,alto
658,medio
659,bajo
660,alto
661,medio
662,bajo
663,medio
664,bajo
665,alto
666,alto
667,medio
668,medio
669,medio
670,medio
671,medio
672,alto
673,bajo
674,medio
675,bajo
676,medio
677,bajo
678,bajo
679,medio
680,bajo
681,alto
682,medio
683,medio
684,medio
685,alto
686,alto
687,bajo
688,medio
689,bajo
690,medio
691,medio
692,medio
693,bajo
694,medio
695,bajo
696,medio
697,alto
698,bajo
699,medio
700,bajo
701,bajo
702,bajo
703,bajo
704,bajo
705,medio
706,bajo
707,medio
708,alto
709,medio
710,alto
711,medio
712,alto
713,bajo
714,alto
715,alto
716,alto
717,medio
718,alto
719,alto
720,bajo
721,alto
722,alto
723,medio
724,medio
725,alto
726,alto
727,alto
728,alto
729,medio
730,medio
731,bajo
732,medio
733,bajo
734,medio
735,medio
736,bajo
737,medio
738,medio
739,alto
740,bajo
741,alto
742,bajo
743,alto
744,medio
745,alto
746,medio
747,medio
748,medio
749,medio
750,alto
751,alto
752,alto
753,alto
754,bajo
755,alto
756,alto
757,medio
758,medio
759,medio
760,medio
761,medio
762,bajo
763,alto
764,medio
765,bajo
766,alto
767,bajo
768,alto
769,bajo
770,medio
771,medio
772,bajo
773,medio
774,medio
775,alto
776,alto
777,bajo
778,alto
779,alto
780,bajo
781,medio
782,medio
783,bajo
784,bajo
785,medio
786,bajo
787,alto
788,bajo
789,alto
790,bajo
791,bajo
792,alto
793,alto
794,medio
795,alto
796,bajo
797,alto
798,medio
799,medio
800,medio
801,alto
802,bajo
803,medio
804,alto
805,bajo
806,bajo
807,alto
808,bajo
809,alto
810,bajo
811,medio
812,bajo
813,bajo
814,alto
815,bajo
816,alto
817,bajo
818,medio
819,medio
820,bajo
821,bajo
822,medio
823,medio
824,alto
825,bajo
826,bajo
827,bajo
828,alto
829,medio
830,alto
831,alto
832,alto
833,medio
834,alto
835,bajo
836,medio
837,medio
838,alto
839,bajo
840,alto
841,bajo
842,medio
843,bajo
844,medio
845,medio
846,medio
847,medio
848,medio
849,medio
850,bajo
851,alto
852,medio
853,medio
854,medio
855,alto
856,medio
857,medio
858,medio
859,medio
860,alto
861,alto
862,medio
863,medio
864,bajo
865,alto
866,medio
867,bajo
868,alto
869,bajo
870,medio
871,alto
872,alto
873,alto
874,medio
875,alto
876,medio
877,alto
878,bajo
879,bajo
880,bajo
881,alto
882,alto
883,bajo
884,medio
885,medio
886,bajo
887,medio
888,medio
889,medio
890,alto
891,alto
892,bajo
893,alto
894,medio
895,medio
896,medio
897,bajo
898,medio
899,medio
900,medio
901,bajo
902,alto
903,bajo
904,medio
905,bajo
906,medio
907,medio
908,alto
909,alto
910,medio
911,alto
912,bajo
913,medio
914,medio
915,bajo
916,bajo
917,bajo
918,medio
919,alto
920,bajo
921,medio
922,bajo
923,bajo
924,medio
925,alto
926,medio
927,alto
928,medio
929,medio
930,bajo
931,alto
932,alto
933,medio
934,bajo
935,alto
936,medio
937,bajo
938,alto
939,medio
940,bajo
941,medio
942,alto
943,bajo
944,medio
945,alto
946,alto
947,medio
948,bajo
949,medio
950,medio
951,medio
952,alto
953,medio
954,medio
955,bajo
956,medio
957,bajo
958,medio
959,medio
960,alto
961,alto
962,alto
963,bajo
964,alto
965,alto
966,alto
967,alto
968,medio
969,bajo
970,medio
971,alto
972,medio
973,alto
974,alto
975,medio
976,bajo
977,alto
978,medio
979,bajo
980,medio
981,bajo
982,bajo
983,alto
984,bajo
985,alto
986,alto
987,alto
988,medio
989,alto
990,alto
991,alto
992,bajo
993,medio
994,bajo
995,alto
996,alto
997,bajo
998,medio
999,medio
1000,bajo
1001,alto
1002,bajo
1003,bajo
1004,medio
1005,medio
1006,medio
1007,alto
1008,medio
1009,alto
1010,bajo
1011,bajo
1012,medio
1013,alto
1014,medio
1015,medio
1016,medio
1017,alto
1018,alto
1019,medio
1020,alto
1021,medio
1022,bajo
1023,alto
1024,bajo
1025,bajo
1026,bajo
1027,bajo
1028,medio
1029,alto
1030,bajo
1031,medio
1032,bajo
1033,bajo
1034,alto
1035,bajo
1036,medio
1037,bajo
1038,medio
1039,alto
1040,alto
1041,alto
1042,bajo
1043,alto
1044,alto
1045,alto
1046,medio
1047,medio
1048,alto
1049,medio
1050,medio
1051,alto
1052,bajo
1053,bajo
1054,alto
1055,bajo
1056,medio
1057,alto
1058,medio
1059,alto
1060,bajo
1061,alto
1062,medio
1063,bajo
1064,bajo
1065,bajo
1066,alto
1067,alto
1068,alto
1069,alto
1070,alto
1071,bajo
1072,alto
1073,medio
1074,medio
1075,alto
1076,medio
1077,medio
1078,medio
1079,bajo
1080,bajo
1081,bajo
1082,medio
1083,alto
1084,bajo
1085,medio
1086,alto
1087,bajo
1088,medio
1089,alto
1090,alto
1091,alto
1092,medio
1093,bajo
1094,medio
1095,bajo
1096,bajo
1097,medio
1098,bajo
1099,bajo
1100,bajo
1101,alto
1102,medio
1103,alto
1104,medio
1105,medio
1106,alto
1107,alto
1108,bajo
1109,medio
1110,bajo
1111,medio
1112,medio
1113,bajo
1114,bajo
1115,alto
1116,medio
1117,medio
1118,bajo
1119,bajo
1120,alto
1121,bajo
1122,alto
1123,medio
1124,alto
1125,medio
1126,bajo
1127,bajo
1128,alto
1129,alto
1130,bajo
1131,alto
1132,bajo
1133,alto
1134,bajo
1135,medio
1136,medio
1137,medio
1138,medio
1139,alto
1140,alto
1141,alto
1142,medio
1143,bajo
1144,alto
1145,medio
1146,medio
1147,bajo
1148,alto
1149,alto
1150,bajo
1151,bajo
1152,alto
1153,medio
1154,medio
1155,alto
1156,alto
1157,medio
1158,bajo
1159,medio
1160,bajo
1161,alto
1162,bajo
1163,alto
1164,bajo
1165,bajo
1166,medio
1167,alto
1168,medio
1169,alto
1170,alto
1171,alto
1172,bajo
1173,alto
1174,alto
1175,alto
1176,bajo
1177,medio
1178,medio
1179,medio
1180,bajo
1181,bajo
1182,medio
1183,medio
1184,medio
1185,medio
1186,alto
1187,medio
1188,alto
1189,bajo
1190,bajo
1191,alto
1192,bajo
1193,alto
1194,bajo
1195,medio
1196,medio
1197,bajo
1198,medio
1199,bajo
1200,alto
1201,medio
1202,bajo
1203,medio
1204,medio
1205,bajo
1206,medio
1207,alto
1208,bajo
1209,medio
1210,bajo
1211,bajo
1212,bajo
1213,alto
1214,bajo
1215,alto
1216,medio
1217,medio
1218,alto
1219,alto
1220,bajo
1221,bajo
1222,bajo
1223,medio
1224,alto
1225,medio
1226,bajo
1227,bajo
1228,alto
1229,alto
1230,medio
1231,bajo
1232,alto
1233,bajo
1234,medio
1235,bajo
1236,medio
1237,medio
1238,bajo
1239,medio
1240,medio
1241,bajo
1242,bajo
1243,bajo
1244,alto
1245,alto
1246,bajo
1247,bajo
1248,alto
1249,alto
1250,alto
1251,alto
1252,medio
1253,bajo
1254,alto
1255,bajo
1256,alto
1257,alto
1258,bajo
1259,bajo
1260,bajo
1261,medio
1262,alto
1263,medio
1264,bajo
1265,bajo
1266,alto
1267,medio
1268,medio
1269,alto
1270,alto
1271,bajo
1272,alto
1273,medio
1274,medio
1275,medio
1276,medio
1277,medio
1278,medio
1279,alto
1280,medio
1281,medio
1282,bajo
1283,medio
1284,alto
1285,medio
1286,alto
1287,alto
1288,bajo
1289,medio
1290,bajo
1291,medio
1292,alto
1293,medio
1294,alto
1295,alto
1296,medio
1297,bajo
1298,bajo
1299,medio
1300,alto
1301,medio
1302,alto
1303,bajo
1304,alto
1305,alto
1306,bajo
1307,bajo
1308,bajo
1309,alto
1310,bajo
1311,bajo
1312,alto
1313,alto
1314,bajo
1315,bajo
1316,alto
1317,alto
1318,medio
1319,medio
1320,alto
1321,bajo
1322,alto
1323,alto
1324,bajo
1325,medio
1326,bajo
1327,bajo
1328,medio
1329,medio
1330,medio
1331,medio
1332,alto
1333,bajo
1334,alto
1335,bajo
