,property_price
0,198000.0
1,63000.0
2,93000.0
3,160000.0
4,290000.0
5,83789.0
6,105000.0
7,44900.0
8,249900.0
9,160000.0
10,390000.0
11,199000.0
12,55000.0
13,430000.0
14,205000.0
15,140000.0
16,83000.0
17,425000.0
18,75000.0
19,550000.0
20,66780.0
21,99500.0
22,75000.0
23,316242.0
24,198000.0
25,585000.0
26,62000.0
27,125000.0
28,140000.0
29,95000.0
30,170000.0
31,216000.0
32,163000.0
33,380000.0
34,135000.0
35,94000.0
36,150000.0
37,249000.0
38,74000.0
39,190000.0
40,180000.0
41,92000.0
42,104892.0
43,72500.0
44,65000.0
45,169900.0
46,210000.0
47,67500.0
48,150000.0
49,159000.0
50,88992.0
51,249000.0
52,110000.0
53,495000.0
54,230000.0
55,72000.0
56,279900.0
57,230000.0
58,115000.0
59,83500.0
60,260000.0
61,83000.0
62,83000.0
63,170000.0
64,120000.0
65,349000.0
66,88000.0
67,89000.0
68,108000.0
69,168000.0
70,80000.0
71,164900.0
72,139000.0
73,375000.0
74,58000.0
75,174000.0
76,280000.0
77,249000.0
78,42000.0
79,199000.0
80,88000.0
81,125000.0
82,89000.0
83,222946.0
84,239000.0
85,168000.0
86,210000.0
87,490000.0
88,120000.0
89,175000.0
90,99900.0
91,340000.0
92,110000.0
93,92000.0
94,95000.0
95,69900.0
96,77000.0
97,60000.0
98,169000.0
99,73900.0
100,195000.0
101,398000.0
102,132000.0
103,440000.0
104,170000.0
105,105000.0
106,184500.0
107,158000.0
108,113000.0
109,87000.0
110,175000.0
111,285000.0
112,69500.0
113,219900.0
114,159000.0
115,42000.0
116,155000.0
117,200000.0
118,100000.0
119,132000.0
120,99000.0
121,183393.0
122,99000.0
123,170000.0
124,99000.0
125,59900.0
126,66000.0
127,299000.0
128,245000.0
129,139500.0
130,122000.0
131,210000.0
132,262000.0
133,387000.0
134,69000.0
135,400000.0
136,132000.0
137,89600.0
138,69000.0
139,193600.0
140,149000.0
141,590000.0
142,175000.0
143,239000.0
144,190000.0
145,125000.0
146,275000.0
147,95000.0
148,340000.0
149,395000.0
150,165000.0
151,530000.0
152,160000.0
153,105000.0
154,590000.0
155,163500.0
156,98000.0
157,89900.0
158,189000.0
159,120485.0
160,88000.0
161,146000.0
162,78000.0
163,94999.0
164,150000.0
165,225000.0
166,598000.0
167,305000.0
168,80000.0
169,100000.0
170,198000.0
171,40000.0
172,290000.0
173,225000.0
174,110000.0
175,84900.0
176,69000.0
177,75000.0
178,135000.0
179,188000.0
180,450000.0
181,99000.0
182,142000.0
183,79000.0
184,167000.0
185,209000.0
186,70000.0
187,69000.0
188,91500.0
189,300000.0
190,116000.0
191,76000.0
192,99000.0
193,282000.0
194,277000.0
195,72029.0
196,109000.0
197,72000.0
198,75000.0
199,446823.0
200,159000.0
201,115000.0
202,108000.0
203,112000.0
204,250000.0
205,189000.0
206,335000.0
207,85000.0
208,120000.0
209,210000.0
210,230000.0
211,159000.0
212,80000.0
213,205000.0
214,115800.0
215,350000.0
216,120000.0
217,151000.0
218,95000.0
219,89000.0
220,100000.0
221,149500.0
222,169000.0
223,129900.0
224,205000.0
225,290000.0
226,215000.0
227,220000.0
228,191000.0
229,78000.0
230,130000.0
231,210000.0
232,57000.0
233,175000.0
234,72000.0
235,299000.0
236,210478.0
237,145000.0
238,260000.0
239,99900.0
240,320000.0
241,142500.0
242,109500.0
243,52900.0
244,155000.0
245,119000.0
246,87800.0
247,115000.0
248,79000.0
249,340000.0
250,99000.0
251,145000.0
252,160000.0
253,220000.0
254,125000.0
255,139500.0
256,67000.0
257,99000.0
258,212000.0
259,165000.0
260,252000.0
261,76000.0
262,124950.0
263,110000.0
264,72000.0
265,134033.0
266,88000.0
267,129000.0
268,465000.0
269,130000.0
270,135900.0
271,218000.0
272,120000.0
273,209000.0
274,580000.0
275,110000.0
276,114900.0
277,125000.0
278,186533.0
279,100000.0
280,105000.0
281,79000.0
282,360000.0
283,549000.0
284,109747.0
285,320000.0
286,140000.0
287,84000.0
288,118000.0
289,192375.0
290,246900.0
291,198000.0
292,134000.0
293,309000.0
294,109000.0
295,144000.0
296,375000.0
297,168500.0
298,196464.0
299,285000.0
300,280000.0
301,219000.0
302,105000.0
303,189000.0
304,179000.0
305,97000.0
306,115000.0
307,130000.0
308,149000.0
309,137000.0
310,105000.0
311,70000.0
312,115000.0
313,124000.0
314,35000.0
315,95000.0
316,165000.0
317,79900.0
318,74900.0
319,85000.0
320,99000.0
321,220000.0
322,135000.0
323,180000.0
324,200000.0
325,51900.0
326,200000.0
327,480000.0
328,128790.0
329,92000.0
330,280000.0
331,320000.0
332,178000.0
333,105040.0
334,125000.0
335,232000.0
336,29900.0
337,170000.0
338,95441.0
339,490000.0
340,200000.0
341,380000.0
342,145000.0
343,350000.0
344,225000.0
345,230000.0
346,148000.0
347,89000.0
348,92000.0
349,298000.0
350,549000.0
351,310000.0
352,160855.0
353,168000.0
354,265000.0
355,74999.0
356,250000.0
357,109000.0
358,110000.0
359,115000.0
360,139000.0
361,120000.0
362,79000.0
363,105000.0
364,250000.0
365,167000.0
366,255000.0
367,570000.0
368,195000.0
369,125000.0
370,225000.0
371,62500.0
372,138000.0
373,122000.0
374,590000.0
375,209000.0
376,175000.0
377,99000.0
378,58000.0
379,60000.0
380,330000.0
381,590000.0
382,114000.0
383,50000.0
384,215000.0
385,198000.0
386,49980.0
387,550000.0
388,349000.0
389,178000.0
390,115000.0
391,85000.0
392,66600.0
393,260000.0
394,395000.0
395,520000.0
396,75000.0
397,153000.0
398,77000.0
399,100000.0
400,199000.0
401,99900.0
402,520000.0
403,177000.0
404,72000.0
405,82500.0
406,149000.0
407,130000.0
408,55000.0
409,129900.0
410,90000.0
411,165000.0
412,329000.0
413,265000.0
414,135000.0
415,100000.0
416,79000.0
417,145000.0
418,135000.0
419,82000.0
