,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1
0,2.0,1.0,65.0,53.0,-0.8453675480832353
1,1.0,1.0,29.0,29.0,-2.353354071870227
2,2.0,1.0,41.0,35.0,-1.6737341414810665
3,1.0,1.0,49.0,44.0,-1.6354382987890708
4,1.0,2.0,115.1,78.0,0.35471634828569765
5,1.0,1.0,36.0,31.0,-2.1823988886192605
6,3.0,2.0,60.0,50.0,-0.40985428911273875
7,1.0,1.0,33.0,31.0,-2.3606377139855073
8,4.0,4.0,257.0,178.0,4.89691829376435
9,6.0,4.0,199.0,157.0,4.525243032937389
10,3.0,2.0,120.0,120.0,2.0222139785869095
11,3.0,2.0,65.0,65.0,0.1560375217373021
12,2.0,1.0,29.0,29.0,-2.0111521665521797
13,3.0,2.0,87.0,87.0,1.4450158568461438
14,2.0,1.0,70.0,66.0,-0.625106679372181
15,3.0,2.0,53.0,50.0,-0.33607677454455015
16,1.0,1.0,37.0,34.0,-2.1473635362754564
17,5.0,4.0,174.0,174.0,5.068672229694065
18,2.0,1.0,69.0,41.0,-1.388600719487182
19,3.0,2.0,110.0,100.0,2.2551443168709553
20,1.0,1.0,47.0,32.0,-2.125763071922709
21,1.0,1.0,41.0,30.0,-2.0953330129323557
22,3.0,2.0,41.0,41.0,-0.7940803851500847
23,4.0,3.0,128.0,123.0,2.755802195157214
24,3.0,2.0,72.0,65.0,0.22875619770963235
25,5.0,5.0,192.0,182.0,6.399049110125009
26,3.0,2.0,65.0,54.0,-0.46891618755913766
27,3.0,2.0,63.0,60.0,-0.16101814453601127
28,3.0,2.0,65.0,53.0,-0.1896730437403653
29,2.0,1.0,33.0,30.0,-1.8126634851282142
30,3.0,2.0,53.0,53.0,-0.20835038731757513
31,3.0,2.0,82.0,70.0,0.43884732163598034
32,2.0,1.0,51.0,43.0,-1.235348695785857
33,3.0,2.0,176.0,133.0,2.685796668873552
34,3.0,2.0,59.0,54.0,-0.25335761097350046
35,3.0,2.0,44.0,44.0,-0.6692965126295102
36,1.0,1.0,42.0,37.0,-1.820021733198104
37,3.0,2.0,85.0,79.0,0.7042002844151106
38,2.0,1.0,36.0,33.0,-1.8293892402559637
39,2.0,1.0,65.0,51.0,-0.898131920690752
40,3.0,2.0,82.0,82.0,0.47323763854549084
41,3.0,2.0,58.0,58.0,-0.3703939496337343
42,1.0,1.0,33.0,28.0,-2.1736603694260825
43,1.0,1.0,32.0,29.0,-2.2810805209362184
44,1.0,1.0,39.0,33.0,-2.2078753746189124
45,4.0,3.0,91.0,81.0,1.3835256930330302
46,3.0,2.0,104.8,81.0,0.7727906780246896
47,2.0,1.0,35.0,35.0,-1.831649515515075
48,1.0,1.0,49.0,49.0,-1.6065162692329487
49,2.0,1.0,48.0,38.0,-1.3295246382475598
50,2.0,1.0,48.0,41.0,-1.5557240907334642
51,5.0,3.0,104.0,102.0,2.4024199137734743
52,2.0,1.0,56.0,55.0,-1.2420302323322372
53,4.0,3.0,182.0,182.0,4.617049024345463
54,4.0,3.0,100.0,97.0,1.859554759406025
55,2.0,1.0,43.0,38.0,-1.6963397837200072
56,3.0,2.0,73.0,64.0,0.5063202033341465
57,6.0,3.0,198.0,128.0,3.926408434661057
58,4.0,3.0,57.0,57.0,0.5547418161385748
59,2.0,1.0,44.0,44.0,-1.5563417231083347
60,4.0,3.0,79.0,75.0,1.5039706120019174
61,2.0,1.0,36.0,36.0,-1.754185785875241
62,2.0,1.0,36.0,32.0,-1.7954470361273294
63,3.0,2.0,85.0,60.0,0.20248164697223286
64,2.0,1.0,45.0,45.0,-1.430852984667593
65,4.0,3.0,150.0,104.0,2.8535536565743027
66,2.0,1.0,46.0,45.0,-1.528058193620884
67,1.0,1.0,35.0,33.0,-2.152593725859461
68,6.0,4.0,239.0,112.0,4.189710455646063
69,3.0,2.0,242.0,98.0,2.1479746002029168
70,2.0,1.0,41.0,37.0,-1.6875446307808704
71,3.0,2.0,80.0,76.0,0.3121928389856119
72,3.0,2.0,58.0,52.0,-0.2817862710650206
73,3.0,2.0,83.0,78.0,1.1110267190223513
74,2.0,1.0,33.0,33.0,-1.9039756012616607
75,4.0,3.0,91.0,85.0,1.429246323224837
76,3.0,2.0,90.0,90.0,0.9937069543349764
77,3.0,2.0,85.0,83.0,0.7436760797983064
78,1.0,1.0,22.0,22.0,-2.587445625536208
79,3.0,3.0,88.0,80.0,1.0494826008230027
80,2.0,1.0,49.0,42.0,-1.5498440163381826
81,2.0,1.0,63.0,58.9,-1.0615739936759565
82,3.0,2.0,56.0,52.0,-0.45875097969995704
83,2.0,1.0,54.0,46.0,-0.9608602148386093
84,3.0,2.0,111.8,84.0,0.9752224987807485
85,3.0,2.0,149.8,148.0,1.887529369936936
86,3.0,3.0,168.9,155.0,2.7906444996222177
87,5.0,3.0,177.0,111.0,4.074497323667004
88,1.0,1.0,36.0,36.0,-1.9997592989639847
89,3.0,2.0,69.0,60.0,0.06852298071708375
90,3.0,2.0,51.0,50.0,-0.5164874839881887
91,4.0,3.0,119.0,109.0,2.5907073717606313
92,3.0,2.0,65.0,47.0,-0.3611329626491711
93,1.0,1.0,37.0,34.0,-2.0947251806559675
94,2.0,1.0,38.0,38.0,-1.6588455288847055
95,2.0,1.0,30.0,30.0,-1.9234478493890041
96,2.0,1.0,35.0,35.0,-1.775540661055547
97,2.0,1.0,30.0,24.0,-2.033230832525868
98,3.0,2.0,74.0,71.0,0.20812432258233587
99,2.0,1.0,51.0,44.0,-1.5283012788981876
100,2.0,1.0,60.0,55.0,-0.9104743925289693
101,4.0,3.0,111.0,100.0,2.6028756518993394
102,3.0,2.0,75.0,68.0,0.07242819479415678
103,4.0,3.0,141.0,129.0,3.385260176558835
104,4.0,3.0,80.0,75.0,1.1905564818639396
105,2.0,1.0,54.0,49.0,-1.337045201933861
106,4.0,3.0,83.0,78.0,1.3172242091600939
107,4.0,3.0,73.0,73.0,1.0557068483391692
108,2.0,1.0,54.0,46.0,-1.332830938889797
109,1.0,1.0,40.0,36.0,-2.076420215587913
110,3.0,2.0,74.0,67.0,0.1827686536456507
111,4.0,2.0,185.0,150.0,3.0441505048730995
112,1.0,1.0,34.0,34.0,-2.209340191083682
113,5.0,3.0,135.0,121.0,2.8395145464928504
114,3.0,2.0,48.0,48.0,-0.3515957928769418
115,1.0,1.0,23.0,23.0,-2.566282398045375
116,2.0,1.0,57.0,57.0,-1.0505236198868502
117,3.0,2.0,72.0,61.0,0.1775926334756926
118,2.0,1.0,42.0,40.0,-1.5799457512471564
119,2.0,1.0,55.0,49.0,-1.2232871545705595
120,3.0,2.0,63.0,63.0,-0.2338866404292994
121,2.0,1.0,57.0,47.0,-1.0469050904465043
122,1.0,1.0,50.0,50.0,-1.7696724706048057
123,2.0,1.0,94.2,77.0,-0.3934659417619175
124,2.0,1.0,48.2,34.0,-1.5968045370846298
125,1.0,1.0,25.0,25.0,-2.456143212592338
126,1.0,1.0,36.0,32.0,-2.232639758518784
127,3.0,2.0,181.0,144.0,2.586761470861564
128,3.0,2.0,77.0,69.0,0.49975791529401375
129,2.0,1.0,46.0,42.0,-1.3852419611543372
130,2.0,1.0,34.0,34.0,-1.656794480039928
131,2.0,1.0,54.0,50.0,-0.9625370028080058
132,3.0,2.0,131.0,131.0,1.8093556534874653
133,4.0,3.0,128.0,123.0,3.0047188890729366
134,1.0,1.0,37.0,33.0,-2.196491782009549
135,3.0,2.0,130.0,130.0,2.2772943942184307
136,2.0,1.0,50.0,46.1,-1.307869519102447
137,1.0,1.0,33.0,28.0,-2.230563249414997
138,3.0,1.0,45.0,45.0,-1.2305964676473615
139,4.0,3.0,122.0,81.0,1.7490419192810955
140,2.0,1.0,63.0,47.0,-1.1192756268960677
141,6.0,4.0,212.0,192.0,6.613349255842924
142,4.0,3.0,99.0,92.0,1.612877548146703
143,5.0,3.0,143.0,126.0,3.0309583684660124
144,3.0,2.0,83.0,66.0,0.3135975211379944
145,2.0,1.0,82.0,48.0,-1.0079464034228423
146,4.0,3.0,187.0,123.0,3.163379478370973
147,2.0,1.0,38.0,38.0,-1.6703958441982265
148,4.0,3.0,215.0,140.0,3.894345282876184
149,5.0,4.0,266.0,184.0,5.964245311833484
150,3.0,2.0,140.0,75.0,0.8739403041102101
151,4.0,3.0,127.0,118.0,3.4282382899609707
152,4.0,3.0,210.0,109.0,2.7890592868842052
153,2.0,1.0,62.0,62.0,-1.0884151690638924
154,5.0,3.0,258.0,180.0,6.0381392515936305
155,2.0,1.0,55.0,47.0,-1.1555226732761081
156,2.0,1.0,37.0,37.0,-1.6716394083630086
157,3.0,2.0,50.0,50.0,-0.5330710052921239
158,2.0,1.0,49.0,44.0,-1.157653428901772
159,2.0,1.0,66.0,56.0,-1.0709857392350612
160,2.0,1.0,38.0,38.0,-1.6838220738951655
161,2.0,1.0,58.0,55.0,-1.086953156505795
162,1.0,1.0,35.0,31.0,-2.20671694400169
163,2.0,1.0,45.0,39.0,-1.5670963621162073
164,3.0,2.0,91.0,68.0,0.2694921438445135
165,2.0,1.0,60.0,60.0,-0.7233417095295845
166,5.0,4.0,200.0,136.7,5.4713021132129676
167,7.0,4.0,185.0,150.0,5.208011982468423
168,2.0,1.0,36.0,36.0,-1.7623475649461393
169,2.0,1.0,42.0,40.0,-1.5912544101936101
170,4.0,1.0,121.0,113.0,1.1857333699473833
171,1.0,1.0,25.0,25.0,-2.5302766936533088
172,4.0,3.0,121.0,114.0,2.478999777093486
173,3.0,2.0,81.0,66.0,0.42478238985147204
174,2.0,1.0,42.0,42.0,-1.526543650816256
175,2.0,1.0,43.0,40.0,-1.6170177618451171
176,1.0,1.0,36.0,32.0,-2.2301518082621494
177,1.0,1.0,29.0,26.0,-2.332496377522205
178,3.0,2.0,64.0,59.0,-0.16579545181297364
179,2.0,1.0,65.0,37.0,-1.0907854068031875
180,7.0,4.0,310.0,200.0,7.521738950167196
181,4.0,3.0,88.0,75.0,1.023937524500874
182,3.0,2.0,78.0,67.0,0.10917778842181465
