,tipo_precio
48017,alto
47799,alto
29601,medio
15202,bajo
14089,bajo
33156,medio
15865,bajo
5705,bajo
3246,bajo
49871,alto
52441,alto
13271,bajo
20100,bajo
61395,alto
31524,medio
12036,bajo
49553,alto
46531,alto
34985,medio
49727,alto
53925,alto
54579,alto
39575,medio
53919,alto
42604,alto
55279,alto
57581,alto
44462,alto
48674,alto
20410,bajo
8014,bajo
9160,bajo
27639,medio
39892,medio
59271,alto
31867,medio
43997,alto
27079,medio
48120,alto
43571,alto
59470,alto
18227,bajo
44972,alto
16841,bajo
47816,alto
30935,medio
38810,medio
41621,medio
38861,medio
46081,alto
27612,medio
17121,bajo
11317,bajo
14403,bajo
16999,bajo
58770,alto
8220,bajo
17424,bajo
42445,alto
60017,alto
24173,medio
32273,medio
44647,alto
6294,bajo
25306,medio
50575,alto
27818,medio
51063,alto
34423,medio
44490,alto
49825,alto
31000,medio
13944,bajo
34515,medio
38016,medio
44204,alto
25079,medio
15383,bajo
56773,alto
45367,alto
42116,alto
14679,bajo
31042,medio
27305,medio
41290,medio
48537,alto
61711,alto
44751,alto
36201,medio
5883,bajo
14536,bajo
16589,bajo
35113,medio
40541,medio
1001,bajo
19898,bajo
7201,bajo
46877,alto
31731,medio
58779,alto
32859,medio
40209,medio
27419,medio
25516,medio
57888,alto
53413,alto
22486,medio
4268,bajo
1642,bajo
49042,alto
54666,alto
47521,alto
11901,bajo
37843,medio
28416,medio
37618,medio
39839,medio
3740,bajo
20396,bajo
37516,medio
45695,alto
49685,alto
43602,alto
44277,alto
2030,bajo
51854,alto
44951,alto
21840,medio
56741,alto
53704,alto
17390,bajo
27644,medio
3928,bajo
24210,medio
7803,bajo
164,bajo
39844,medio
39163,medio
53664,alto
36948,medio
47814,alto
28009,medio
52537,alto
39637,medio
37832,medio
4284,bajo
17650,bajo
60588,alto
35365,medio
54529,alto
37961,medio
47408,alto
19950,bajo
52141,alto
23393,medio
28368,medio
27207,medio
16032,bajo
11644,bajo
21193,medio
41076,medio
41082,medio
55850,alto
61945,alto
4623,bajo
594,bajo
16081,bajo
59492,alto
10041,bajo
61485,alto
32754,medio
19291,bajo
40320,medio
36021,medio
39089,medio
9625,bajo
48987,alto
12079,bajo
14644,bajo
24300,medio
18331,bajo
59434,alto
22774,medio
25412,medio
12749,bajo
3103,bajo
32655,medio
59882,alto
24684,medio
696,bajo
43297,alto
34853,medio
8449,bajo
7789,bajo
39292,medio
27878,medio
48382,alto
22826,medio
7797,bajo
27742,medio
58273,alto
62718,alto
28259,medio
3845,bajo
40635,medio
6029,bajo
31531,medio
56272,alto
604,bajo
10443,bajo
8188,bajo
62107,alto
30752,medio
11527,bajo
28330,medio
41789,medio
8101,bajo
40831,medio
58497,alto
50895,alto
57851,alto
19528,bajo
6738,bajo
12111,bajo
12138,bajo
10,bajo
52477,alto
45462,alto
51602,alto
56710,alto
33857,medio
35260,medio
9401,bajo
42115,alto
15688,bajo
39520,medio
51170,alto
47523,alto
9453,bajo
50480,alto
4170,bajo
31026,medio
39183,medio
15702,bajo
1078,bajo
30488,medio
35584,medio
11624,bajo
9347,bajo
19208,bajo
21079,medio
54058,alto
37421,medio
24558,medio
56970,alto
19524,bajo
25305,medio
17053,bajo
4259,bajo
27465,medio
60852,alto
51549,alto
36352,medio
25899,medio
39817,medio
3077,bajo
13332,bajo
31691,medio
14752,bajo
46478,alto
13894,bajo
24666,medio
52148,alto
3333,bajo
304,bajo
52641,alto
28540,medio
7412,bajo
3692,bajo
37504,medio
30886,medio
29263,medio
39547,medio
56251,alto
46419,alto
17207,bajo
6508,bajo
3583,bajo
25901,medio
37943,medio
55221,alto
51501,alto
2857,bajo
28895,medio
14624,bajo
59976,alto
57932,alto
21137,medio
7314,bajo
1745,bajo
10690,bajo
57082,alto
9152,bajo
11609,bajo
32796,medio
6185,bajo
7173,bajo
35896,medio
49580,alto
49663,alto
17113,bajo
23684,medio
51787,alto
53611,alto
51894,alto
